Plot Name,Plot Type,Dominant Cover,Bulb Treatment,species/cover,%cover,Date ,Year
LBNN5,Grass Cover,Nonnative,Low Effort,Brachypodium distachyon,30,,2023 (Before Fire)
LBNN5,Grass Cover,Nonnative,Low Effort,Bromus hordeaceus,55,,2023 (Before Fire)
LBNN6,Grass Cover,Nonnative,Low Effort,Festuca perennis,60,,2023 (Before Fire)
LBNN6,Grass Cover,Nonnative,Low Effort,Bromus hordeaceus,40,,2023 (Before Fire)
LBNN6,Grass Cover,Nonnative,Low Effort,Trifolium sp. ,2,,2023 (Before Fire)
LBNN7,Grass Cover,Nonnative,Low Effort,Bareground,1,,2023 (Before Fire)
LBNN7,Grass Cover,Nonnative,Low Effort,Stipa pulchra,5,,2023 (Before Fire)
LBNN7,Grass Cover,Nonnative,Low Effort,Erigeron canadensis,1,,2023 (Before Fire)
LBNN7,Grass Cover,Nonnative,Low Effort,Symphyotrichum subulatum var. parviflorum,1,,2023 (Before Fire)
LBNN7,Grass Cover,Nonnative,Low Effort,Bromus hordeaceus,80,,2023 (Before Fire)
LBNN7,Grass Cover,Nonnative,Low Effort,Polypogon monspeliensis,15,,2023 (Before Fire)
LBNN7,Grass Cover,Nonnative,Low Effort,Salsola tragus,1,,2023 (Before Fire)
LBNN8,Grass Cover,Nonnative,Low Effort,Stipa pulchra,1,,2023 (Before Fire)
LBNN8,Grass Cover,Nonnative,Low Effort,Festuca perennis,100,,2023 (Before Fire)
SAND1,Seeding,NA,NA,Bareground,60,,2023 (Before Fire)
SAND1,Seeding,NA,NA,Thatch,2,,2023 (Before Fire)
SAND1,Seeding,NA,NA,Pseudognaphalium stramineum,1,,2023 (Before Fire)
SAND1,Seeding,NA,NA,Erigeron canadensis,5,,2023 (Before Fire)
SAND1,Seeding,NA,NA,Juncus bufonius,2,,2023 (Before Fire)
SAND1,Seeding,NA,NA,Heterotheca grandiflora,5,,2023 (Before Fire)
SAND1,Seeding,NA,NA,Stipa pulchra,1,,2023 (Before Fire)
SAND1,Seeding,NA,NA,Polypogon monspeliensis,11,,2023 (Before Fire)
SAND1,Seeding,NA,NA,Melilotus indicus,1,,2023 (Before Fire)
SAND1,Seeding,NA,NA,Festuca myuros,3,,2023 (Before Fire)
SAND1,Seeding,NA,NA,Medicago polymorpha,13,,2023 (Before Fire)
SAND1,Seeding,NA,NA,Lysimachia arvensis,1,,2023 (Before Fire)
SAND10,Seeding,NA,NA,Stipa pulchra,4,,2023 (Before Fire)
SAND10,Seeding,NA,NA,Erigeron canadensis,25,,2023 (Before Fire)
SAND10,Seeding,NA,NA,Heterotheca grandiflora,3,,2023 (Before Fire)
SAND10,Seeding,NA,NA,Pseudognaphalium luteoalbum,1,,2023 (Before Fire)
SAND10,Seeding,NA,NA,Bromus hordeaceus,2,,2023 (Before Fire)
SAND10,Seeding,NA,NA,Festuca myuros,15,,2023 (Before Fire)
SAND10,Seeding,NA,NA,Brachypodium distachyon,3,,2023 (Before Fire)
SAND10,Seeding,NA,NA,Melilotus indicus,35,,2023 (Before Fire)
SAND10,Seeding,NA,NA,Polypogon monspeliensis,2,,2023 (Before Fire)
SAND10,Seeding,NA,NA,Sonchus sp.,2,,2023 (Before Fire)
SAND10,Seeding,NA,NA,Festuca perennis,1,,2023 (Before Fire)
SAND10,Seeding,NA,NA,Bareground,5,,2023 (Before Fire)
SAND10,Seeding,NA,NA,Juncus bufonius,1,,2023 (Before Fire)
SAND10,Seeding,NA,NA,Thatch,3,,2023 (Before Fire)
SAND11,Seeding,NA,NA,Juncus bufonius,12,,2023 (Before Fire)
SAND11,Seeding,NA,NA,Stipa pulchra,46,,2023 (Before Fire)
SAND11,Seeding,NA,NA,Erigeron canadensis,1,,2023 (Before Fire)
SAND11,Seeding,NA,NA,Heterotheca grandiflora,2,,2023 (Before Fire)
SAND11,Seeding,NA,NA,Polypogon monspeliensis,3,,2023 (Before Fire)
SAND11,Seeding,NA,NA,Melilotus indicus,20,,2023 (Before Fire)
SAND11,Seeding,NA,NA,Festuca perennis,3,,2023 (Before Fire)
SAND11,Seeding,NA,NA,Bromus hordeaceus,3,,2023 (Before Fire)
SAND11,Seeding,NA,NA,Festuca myuros,10,,2023 (Before Fire)
SAND11,Seeding,NA,NA,Lysimachia arvensis,1,,2023 (Before Fire)
SAND11,Seeding,NA,NA,Medicago polymorpha,1,,2023 (Before Fire)
SAND11,Seeding,NA,NA,Bareground,1,,2023 (Before Fire)
SAND12,Seeding,NA,NA,Baccharis pilularis,10,,2023 (Before Fire)
SAND12,Seeding,NA,NA,Stipa pulchra,61,,2023 (Before Fire)
SAND12,Seeding,NA,NA,Festuca perennis,3,,2023 (Before Fire)
SAND12,Seeding,NA,NA,Symphyotrichum subulatum var. parviflorum,1,,2023 (Before Fire)
SAND12,Seeding,NA,NA,Bromus hordeaceus,17,,2023 (Before Fire)
SAND12,Seeding,NA,NA,Sonchus sp.,1,,2023 (Before Fire)
SAND12,Seeding,NA,NA,Heterotheca grandiflora,1,,2023 (Before Fire)
SAND12,Seeding,NA,NA,Bareground,5,,2023 (Before Fire)
SAND12,Seeding,NA,NA,Brachypodium distachyon,1,,2023 (Before Fire)
SAND12,Seeding,NA,NA,Medicago polymorpha,5,,2023 (Before Fire)
SAND13,Seeding,NA,NA,Polypogon monspeliensis,2,,2023 (Before Fire)
SAND13,Seeding,NA,NA,Heterotheca grandiflora,15,,2023 (Before Fire)
SAND13,Seeding,NA,NA,Bareground,1,,2023 (Before Fire)
SAND13,Seeding,NA,NA,Erigeron canadensis,1,,2023 (Before Fire)
SAND13,Seeding,NA,NA,Festuca perennis,5,,2023 (Before Fire)
SAND13,Seeding,NA,NA,Epilobium brachycarpum,1,,2023 (Before Fire)
SAND13,Seeding,NA,NA,Stipa pulchra,5,,2023 (Before Fire)
SAND13,Seeding,NA,NA,Bromus diandrus,45,,2023 (Before Fire)
SAND13,Seeding,NA,NA,Medicago polymorpha,10,,2023 (Before Fire)
SAND13,Seeding,NA,NA,Festuca myuros,7,,2023 (Before Fire)
SAND13,Seeding,NA,NA,Sonchus sp.,1,,2023 (Before Fire)
SAND13,Seeding,NA,NA,Brachypodium distachyon,1,,2023 (Before Fire)
SAND13,Seeding,NA,NA,Melilotus indicus,6,,2023 (Before Fire)
SAND13,Seeding,NA,NA,Melica imperfecta,1,,2023 (Before Fire)
SAND13,Seeding,NA,NA,Bromus hordeaceus,1,,2023 (Before Fire)
SAND14,Seeding,NA,NA,Erigeron canadensis,3,,2023 (Before Fire)
SAND14,Seeding,NA,NA,Ambrosia psilostachya,3,,2023 (Before Fire)
SAND14,Seeding,NA,NA,Heterotheca grandiflora,5,,2023 (Before Fire)
SAND14,Seeding,NA,NA,Stipa pulchra,2,,2023 (Before Fire)
SAND14,Seeding,NA,NA,Medicago polymorpha,22,,2023 (Before Fire)
SAND14,Seeding,NA,NA,Melilotus indicus,22,,2023 (Before Fire)
SAND14,Seeding,NA,NA,Polypogon monspeliensis,1,,2023 (Before Fire)
SAND14,Seeding,NA,NA,Festuca myuros,37,,2023 (Before Fire)
SAND14,Seeding,NA,NA,Lysimachia arvensis,2,,2023 (Before Fire)
SAND14,Seeding,NA,NA,Bareground,3,,2023 (Before Fire)
SAND14,Seeding,NA,NA,Bromus hordeaceus,1,,2023 (Before Fire)
SAND14,Seeding,NA,NA,Festuca perennis,1,,2023 (Before Fire)
SAND15,Seeding,NA,NA,Brachypodium distachyon,3,,2023 (Before Fire)
SAND15,Seeding,NA,NA,Polypogon monspeliensis,5,,2023 (Before Fire)
SAND15,Seeding,NA,NA,Bromus hordeaceus,17,,2023 (Before Fire)
SAND15,Seeding,NA,NA,Festuca myuros,45,,2023 (Before Fire)
SAND15,Seeding,NA,NA,Ambrosia psilostachya,10,,2023 (Before Fire)
SAND15,Seeding,NA,NA,Stipa pulchra,4,,2023 (Before Fire)
SAND15,Seeding,NA,NA,Melilotus indicus,12,,2023 (Before Fire)
SAND15,Seeding,NA,NA,Lysimachia arvensis,1,,2023 (Before Fire)
SAND15,Seeding,NA,NA,Juncus bufonius,1,,2023 (Before Fire)
SAND15,Seeding,NA,NA,Erigeron canadensis,1,,2023 (Before Fire)
SAND15,Seeding,NA,NA,Heterotheca grandiflora,1,,2023 (Before Fire)
SAND15,Seeding,NA,NA,Medicago polymorpha,4,,2023 (Before Fire)
SAND2,Seeding,NA,NA,Deinandra fasciculata,1,,2023 (Before Fire)
SAND2,Seeding,NA,NA,Symphyotrichum subulatum var. parviflorum,1,,2023 (Before Fire)
SAND2,Seeding,NA,NA,Ambrosia psilostachya,1,,2023 (Before Fire)
SAND2,Seeding,NA,NA,Stipa pulchra,99,,2023 (Before Fire)
SAND2,Seeding,NA,NA,Melilotus indicus,2,,2023 (Before Fire)
SAND2,Seeding,NA,NA,Medicago polymorpha,1,,2023 (Before Fire)
SAND3,Seeding,NA,NA,Stipa pulchra,1,,2023 (Before Fire)
SAND3,Seeding,NA,NA,Medicago polymorpha,30,,2023 (Before Fire)
SAND3,Seeding,NA,NA,Festuca perennis,70,,2023 (Before Fire)
SAND3,Seeding,NA,NA,Avena fatua,1,,2023 (Before Fire)
SAND3,Seeding,NA,NA,Melilotus indicus,1,,2023 (Before Fire)
SAND3,Seeding,NA,NA,Bromus hordeaceus,1,,2023 (Before Fire)
SAND4,Seeding,NA,NA,Bareground,5,,2023 (Before Fire)
SAND4,Seeding,NA,NA,Stipa pulchra,60,,2023 (Before Fire)
SAND4,Seeding,NA,NA,Erigeron canadensis,1,,2023 (Before Fire)
SAND4,Seeding,NA,NA,Heterotheca grandiflora,1,,2023 (Before Fire)
SAND4,Seeding,NA,NA,Festuca perennis,40,,2023 (Before Fire)
SAND4,Seeding,NA,NA,Medicago polymorpha,1,,2023 (Before Fire)
SAND4,Seeding,NA,NA,Avena fatua,1,,2023 (Before Fire)
SAND5,Seeding,NA,NA,Bareground,25,redid 9/19,2023 (Before Fire)
SAND5,Seeding,NA,NA,Heterotheca grandiflora,15,,2023 (Before Fire)
SAND5,Seeding,NA,NA,Erigeron canadensis,6,,2023 (Before Fire)
SAND5,Seeding,NA,NA,Stipa pulchra,3,,2023 (Before Fire)
SAND5,Seeding,NA,NA,Festuca perennis,5,,2023 (Before Fire)
SAND5,Seeding,NA,NA,Melilotus indicus,5,,2023 (Before Fire)
SAND5,Seeding,NA,NA,Medicago polymorpha,20,,2023 (Before Fire)
SAND5,Seeding,NA,NA,Bromus diandrus,2,,2023 (Before Fire)
SAND5,Seeding,NA,NA,Brachypodium distachyon,1,,2023 (Before Fire)
SAND5,Seeding,NA,NA,Bromus hordeaceus,1,,2023 (Before Fire)
SAND5,Seeding,NA,NA,Thatch,20,,2023 (Before Fire)
SAND6,Seeding,NA,NA,Helminthotheca echioides,1,,2023 (Before Fire)
SAND6,Seeding,NA,NA,Avena fatua,30,,2023 (Before Fire)
SAND6,Seeding,NA,NA,Bromus diandrus,20,,2023 (Before Fire)
SAND6,Seeding,NA,NA,Festuca perennis,5,,2023 (Before Fire)
SAND6,Seeding,NA,NA,Melilotus indicus,5,,2023 (Before Fire)
SAND6,Seeding,NA,NA,Medicago polymorpha,8,,2023 (Before Fire)
SAND6,Seeding,NA,NA,Bromus hordeaceus,20,,2023 (Before Fire)
SAND6,Seeding,NA,NA,Sonchus sp.,1,,2023 (Before Fire)
SAND6,Seeding,NA,NA,Erigeron canadensis,1,,2023 (Before Fire)
SAND6,Seeding,NA,NA,Thatch,15,,2023 (Before Fire)
SAND6,Seeding,NA,NA,Bareground,1,,2023 (Before Fire)
SAND7,Seeding,NA,NA,Heterotheca grandiflora,2,,2023 (Before Fire)
SAND7,Seeding,NA,NA,Helminthotheca echioides,2,,2023 (Before Fire)
SAND7,Seeding,NA,NA,Avena fatua,15,,2023 (Before Fire)
SAND7,Seeding,NA,NA,Festuca perennis,5,,2023 (Before Fire)
SAND7,Seeding,NA,NA,Bromus hordeaceus,40,,2023 (Before Fire)
SAND7,Seeding,NA,NA,Polypogon interruptus,2,,2023 (Before Fire)
SAND7,Seeding,NA,NA,Bromus diandrus,25,,2023 (Before Fire)
SAND7,Seeding,NA,NA,Medicago polymorpha,1,,2023 (Before Fire)
SAND7,Seeding,NA,NA,Bareground,8,,2023 (Before Fire)
SAND7,Seeding,NA,NA,Thatch,1,,2023 (Before Fire)
SAND7,Seeding,NA,NA,Stipa pulchra,1,,2023 (Before Fire)
SAND8,Seeding,NA,NA,Heterotheca grandiflora,30,,2023 (Before Fire)
SAND8,Seeding,NA,NA,Melilotus indicus,15,,2023 (Before Fire)
SAND8,Seeding,NA,NA,Festuca myuros,4,,2023 (Before Fire)
SAND8,Seeding,NA,NA,Erigeron canadensis,2,,2023 (Before Fire)
SAND8,Seeding,NA,NA,Bromus diandrus,25,,2023 (Before Fire)
SAND8,Seeding,NA,NA,Festuca perennis,6,,2023 (Before Fire)
SAND8,Seeding,NA,NA,Medicago polymorpha,10,,2023 (Before Fire)
SAND8,Seeding,NA,NA,Lupinus succulentus,9,,2023 (Before Fire)
SAND8,Seeding,NA,NA,Avena fatua,1,,2023 (Before Fire)
SAND8,Seeding,NA,NA,Bareground,1,,2023 (Before Fire)
SAND8,Seeding,NA,NA,Pseudognaphalium luteoalbum,1,,2023 (Before Fire)
SAND8,Seeding,NA,NA,Bromus hordeaceus,5,,2023 (Before Fire)
SAND8,Seeding,NA,NA,Stipa pulchra,1,,2023 (Before Fire)
SAND9,Seeding,NA,NA,Heterotheca grandiflora,17,,2023 (Before Fire)
SAND9,Seeding,NA,NA,Erigeron canadensis,3,,2023 (Before Fire)
SAND9,Seeding,NA,NA,Stipa pulchra,2,,2023 (Before Fire)
SAND9,Seeding,NA,NA,Bareground,3,,2023 (Before Fire)
SAND9,Seeding,NA,NA,Vicia sp. ,25,,2023 (Before Fire)
SAND9,Seeding,NA,NA,Brachypodium distachyon,1,,2023 (Before Fire)
SAND9,Seeding,NA,NA,Pseudognaphalium stramineum,1,,2023 (Before Fire)
SAND9,Seeding,NA,NA,Logfia gallica,3,,2023 (Before Fire)
SAND9,Seeding,NA,NA,Medicago polymorpha,50,,2023 (Before Fire)
SAND9,Seeding,NA,NA,Melilotus indicus,1,,2023 (Before Fire)
SAND9,Seeding,NA,NA,Festuca perennis,1,,2023 (Before Fire)
SOIL1,Soil Dump,NA,Soil Dump,Bareground,1,,2023 (Before Fire)
SOIL1,Soil Dump,NA,Soil Dump,Deinandra fasciculata,95,,2023 (Before Fire)
SOIL1,Soil Dump,NA,Soil Dump,Centaurium tenuiflorum,1,,2023 (Before Fire)
SOIL1,Soil Dump,NA,Soil Dump,Festuca perennis,1,,2023 (Before Fire)
SOIL1,Soil Dump,NA,Soil Dump,Medicago polymorpha,5,,2023 (Before Fire)
SOIL1,Soil Dump,NA,Soil Dump,Bromus hordeaceus,1,,2023 (Before Fire)
SOIL1,Soil Dump,NA,Soil Dump,Melilotus indicus,1,,2023 (Before Fire)
SOIL2,Soil Dump,NA,Soil Dump,Bareground,5,,2023 (Before Fire)
SOIL2,Soil Dump,NA,Soil Dump,Deinandra fasciculata,90,,2023 (Before Fire)
SOIL2,Soil Dump,NA,Soil Dump,Centaurium tenuiflorum,1,,2023 (Before Fire)
SOIL2,Soil Dump,NA,Soil Dump,Trifolium sp. ,2,,2023 (Before Fire)
SOIL2,Soil Dump,NA,Soil Dump,Bromus hordeaceus,1,,2023 (Before Fire)
SOIL2,Soil Dump,NA,Soil Dump,Festuca myuros,1,,2023 (Before Fire)
SOIL2,Soil Dump,NA,Soil Dump,Festuca perennis,1,,2023 (Before Fire)
SOIL2,Soil Dump,NA,Soil Dump,Medicago polymorpha,2,,2023 (Before Fire)
SOIL3,Soil Dump,NA,Soil Dump,Deinandra fasciculata,90,,2023 (Before Fire)
SOIL3,Soil Dump,NA,Soil Dump,Ambrosia psilostachya,1,,2023 (Before Fire)
SOIL3,Soil Dump,NA,Soil Dump,Centaurium tenuiflorum,1,,2023 (Before Fire)
SOIL3,Soil Dump,NA,Soil Dump,Bromus hordeaceus,5,,2023 (Before Fire)
SOIL3,Soil Dump,NA,Soil Dump,Polypogon monspeliensis,1,,2023 (Before Fire)
SOIL3,Soil Dump,NA,Soil Dump,Medicago polymorpha,5,,2023 (Before Fire)
